"","Date","country","cases"
"1",2002-12-29,"Bolivia",0.101
"2",2002-12-29,"Brazil",0.073
"3",2002-12-29,"India",0.062
"4",2002-12-29,"Indonesia",0.101
"5",2002-12-29,"Singapore",0.059
"6",2003-01-05,"Bolivia",0.143
"7",2003-01-05,"Brazil",0.098
"8",2003-01-05,"India",0.047
"9",2003-01-05,"Indonesia",0.039
"10",2003-01-05,"Singapore",0.059
"11",2003-01-12,"Bolivia",0.176
"12",2003-01-12,"Brazil",0.119
"13",2003-01-12,"India",0.051
"14",2003-01-12,"Indonesia",0.059
"15",2003-01-12,"Mexico",0.071
"16",2003-01-12,"Singapore",0.238
"17",2003-01-19,"Bolivia",0.173
"18",2003-01-19,"Brazil",0.17
"19",2003-01-19,"India",0.032
"20",2003-01-19,"Indonesia",0.039
"21",2003-01-19,"Mexico",0.052
"22",2003-01-19,"Singapore",0.175
"23",2003-01-26,"Bolivia",0.146
"24",2003-01-26,"Brazil",0.138
"25",2003-01-26,"India",0.04
"26",2003-01-26,"Indonesia",0.112
"27",2003-01-26,"Mexico",0.048
"28",2003-01-26,"Singapore",0.164
"29",2003-02-02,"Bolivia",0.16
"30",2003-02-02,"Brazil",0.202
"31",2003-02-02,"India",0.038
"32",2003-02-02,"Indonesia",0.049
"33",2003-02-02,"Mexico",0.041
"34",2003-02-02,"Singapore",0.163
"35",2003-02-09,"Bolivia",0.225
"36",2003-02-09,"Brazil",0.179
"37",2003-02-09,"India",0.019
"38",2003-02-09,"Indonesia",0.06
"39",2003-02-09,"Mexico",0.042
"40",2003-02-09,"Singapore",0.15
"41",2003-02-16,"Argentina",0.046
"42",2003-02-16,"Bolivia",0.109
"43",2003-02-16,"Brazil",0.239
"44",2003-02-16,"India",0.008
"45",2003-02-16,"Indonesia",0.039
"46",2003-02-16,"Mexico",0.049
"47",2003-02-16,"Singapore",0.144
"48",2003-02-16,"Venezuela",0.139
"49",2003-02-23,"Argentina",0.048
"50",2003-02-23,"Bolivia",0.147
"51",2003-02-23,"Brazil",0.205
"52",2003-02-23,"India",0.022
"53",2003-02-23,"Indonesia",0.078
"54",2003-02-23,"Mexico",0.054
"55",2003-02-23,"Singapore",0.142
"56",2003-02-23,"Venezuela",0.137
"57",2003-03-02,"Argentina",0.051
"58",2003-03-02,"Bolivia",0.119
"59",2003-03-02,"Brazil",0.142
"60",2003-03-02,"India",0.028
"61",2003-03-02,"Indonesia",0.048
"62",2003-03-02,"Mexico",0.075
"63",2003-03-02,"Singapore",0.129
"64",2003-03-02,"Venezuela",0.168
"65",2003-03-09,"Argentina",0.051
"66",2003-03-09,"Bolivia",0.195
"67",2003-03-09,"Brazil",0.28
"68",2003-03-09,"India",0.003
"69",2003-03-09,"Indonesia",0.089
"70",2003-03-09,"Mexico",0.096
"71",2003-03-09,"Singapore",0.13
"72",2003-03-09,"Venezuela",0.169
"73",2003-03-16,"Argentina",0.046
"74",2003-03-16,"Bolivia",0.289
"75",2003-03-16,"Brazil",0.162
"76",2003-03-16,"India",0.006
"77",2003-03-16,"Indonesia",0.08
"78",2003-03-16,"Mexico",0.064
"79",2003-03-16,"Singapore",0.12
"80",2003-03-16,"Venezuela",0.157
"81",2003-03-23,"Argentina",0.043
"82",2003-03-23,"Bolivia",0.227
"83",2003-03-23,"Brazil",0.17
"84",2003-03-23,"India",0.015
"85",2003-03-23,"Indonesia",0.054
"86",2003-03-23,"Mexico",0.073
"87",2003-03-23,"Singapore",0.115
"88",2003-03-23,"Venezuela",0.154
"89",2003-03-30,"Argentina",0.039
"90",2003-03-30,"Bolivia",0.194
"91",2003-03-30,"Brazil",0.176
"92",2003-03-30,"India",0.033
"93",2003-03-30,"Indonesia",0.071
"94",2003-03-30,"Mexico",0.076
"95",2003-03-30,"Philippines",0.059
"96",2003-03-30,"Singapore",0.104
"97",2003-03-30,"Venezuela",0.138
"98",2003-04-06,"Argentina",0.036
"99",2003-04-06,"Bolivia",0.121
"100",2003-04-06,"Brazil",0.134
"101",2003-04-06,"India",0.008
"102",2003-04-06,"Indonesia",0.054
"103",2003-04-06,"Mexico",0.068
"104",2003-04-06,"Philippines",0.059
"105",2003-04-06,"Singapore",0.107
"106",2003-04-06,"Venezuela",0.136
"107",2003-04-13,"Argentina",0.031
"108",2003-04-13,"Bolivia",0.101
"109",2003-04-13,"Brazil",0.15
"110",2003-04-13,"India",0.012
"111",2003-04-13,"Indonesia",0.088
"112",2003-04-13,"Mexico",0.055
"113",2003-04-13,"Philippines",0.058
"114",2003-04-13,"Singapore",0.101
"115",2003-04-13,"Venezuela",0.129
"116",2003-04-20,"Argentina",0.029
"117",2003-04-20,"Bolivia",0.147
"118",2003-04-20,"Brazil",0.104
"119",2003-04-20,"India",0.03
"120",2003-04-20,"Indonesia",0.054
"121",2003-04-20,"Mexico",0.056
"122",2003-04-20,"Philippines",0.058
"123",2003-04-20,"Singapore",0.102
"124",2003-04-20,"Venezuela",0.168
"125",2003-04-27,"Argentina",0.034
"126",2003-04-27,"Bolivia",0.097
"127",2003-04-27,"Brazil",0.104
"128",2003-04-27,"India",0.004
"129",2003-04-27,"Indonesia",0.081
"130",2003-04-27,"Mexico",0.072
"131",2003-04-27,"Philippines",0.061
"132",2003-04-27,"Singapore",0.128
"133",2003-04-27,"Venezuela",0.263
"134",2003-05-04,"Argentina",0.031
"135",2003-05-04,"Bolivia",0.069
"136",2003-05-04,"Brazil",0.089
"137",2003-05-04,"India",0.007
"138",2003-05-04,"Indonesia",0.068
"139",2003-05-04,"Mexico",0.071
"140",2003-05-04,"Philippines",0.059
"141",2003-05-04,"Singapore",0.132
"142",2003-05-04,"Venezuela",0.222
"143",2003-05-11,"Argentina",0.039
"144",2003-05-11,"Bolivia",0.064
"145",2003-05-11,"Brazil",0.067
"146",2003-05-11,"India",0
"147",2003-05-11,"Indonesia",0.048
"148",2003-05-11,"Mexico",0.06
"149",2003-05-11,"Philippines",0.059
"150",2003-05-11,"Singapore",0.14
"151",2003-05-11,"Venezuela",0.2
"152",2003-05-18,"Argentina",0.039
"153",2003-05-18,"Bolivia",0.053
"154",2003-05-18,"Brazil",0.109
"155",2003-05-18,"India",0.019
"156",2003-05-18,"Indonesia",0.061
"157",2003-05-18,"Mexico",0.069
"158",2003-05-18,"Philippines",0.057
"159",2003-05-18,"Singapore",0.151
"160",2003-05-18,"Venezuela",0.202
"161",2003-05-25,"Argentina",0.039
"162",2003-05-25,"Bolivia",0.064
"163",2003-05-25,"Brazil",0.071
"164",2003-05-25,"India",0.015
