"","Date","country","cases"
"1",2002-12-29,"Brazil",174
"2",2002-12-29,"Peru",329
"3",2003-01-05,"Brazil",162
"4",2003-01-05,"Peru",315
"5",2003-01-12,"Brazil",174
"6",2003-01-12,"Chile",1
"7",2003-01-12,"Peru",314
"8",2003-01-19,"Brazil",162
"9",2003-01-19,"Chile",0
"10",2003-01-19,"Peru",267
"11",2003-01-26,"Brazil",131
"12",2003-01-26,"Chile",0
"13",2003-01-26,"Peru",241
"14",2003-02-02,"Argentina",136
"15",2003-02-02,"Brazil",151
"16",2003-02-02,"Chile",0
"17",2003-02-02,"Peru",227
"18",2003-02-09,"Argentina",145
"19",2003-02-09,"Brazil",184
"20",2003-02-09,"Chile",0
"21",2003-02-09,"Peru",250
"22",2003-02-09,"Romania",664
"23",2003-02-16,"Argentina",141
"24",2003-02-16,"Brazil",162
"25",2003-02-16,"Chile",0
"26",2003-02-16,"Peru",236
"27",2003-02-16,"Romania",736
"28",2003-02-23,"Argentina",135
"29",2003-02-23,"Bolivia",426
"30",2003-02-23,"Brazil",194
"31",2003-02-23,"Chile",0
"32",2003-02-23,"Peru",274
"33",2003-02-23,"Romania",740
"34",2003-03-02,"Argentina",134
"35",2003-03-02,"Bolivia",427
"36",2003-03-02,"Brazil",177
"37",2003-03-02,"Chile",0
"38",2003-03-02,"Peru",270
"39",2003-03-02,"Romania",864
"40",2003-03-09,"Argentina",136
"41",2003-03-09,"Bolivia",460
"42",2003-03-09,"Brazil",223
"43",2003-03-09,"Chile",0
"44",2003-03-09,"Peru",312
"45",2003-03-09,"Romania",824
"46",2003-03-16,"Argentina",134
"47",2003-03-16,"Bolivia",541
"48",2003-03-16,"Brazil",213
"49",2003-03-16,"Chile",1
"50",2003-03-16,"Peru",350
"51",2003-03-16,"Romania",819
"52",2003-03-16,"Uruguay",105
"53",2003-03-23,"Argentina",153
"54",2003-03-23,"Bolivia",549
"55",2003-03-23,"Brazil",228
"56",2003-03-23,"Chile",1
"57",2003-03-23,"Peru",340
"58",2003-03-23,"Romania",821
"59",2003-03-23,"Uruguay",102
"60",2003-03-30,"Argentina",158
"61",2003-03-30,"Bolivia",647
"62",2003-03-30,"Brazil",262
"63",2003-03-30,"Chile",2
"64",2003-03-30,"Peru",301
"65",2003-03-30,"Romania",753
"66",2003-03-30,"Uruguay",104
"67",2003-04-06,"Argentina",187
"68",2003-04-06,"Bolivia",636
"69",2003-04-06,"Brazil",308
"70",2003-04-06,"Chile",1
"71",2003-04-06,"Peru",401
"72",2003-04-06,"Romania",777
"73",2003-04-06,"Uruguay",110
