"country","year","life_expectancy","population","continent","flu_cases"
Uruguay,2015,76.8,3431555.0,Americas,131.1
Uruguay,2014,76.6,3419516.0,Americas,103.7
Uruguay,2013,76.4,3407969.0,Americas,96.3
Uruguay,2012,76.3,3396753.0,Americas,95.7
Uruguay,2011,76.3,3385610.0,Americas,90.1
Uruguay,2010,76.2,3374414.0,Americas,97.8
Uruguay,2009,76.2,3362761.0,Americas,111.0
Uruguay,2008,76.0,3350832.0,Americas,121.9
Uruguay,2007,75.7,3339750.0,Americas,142.9
Uruguay,2006,75.7,3331041.0,Americas,127.8
Uruguay,2005,75.5,3325608.0,Americas,127.8
Uruguay,2004,75.3,3324096.0,Americas,145.3
Uruguay,2003,75.0,3325637.0,Americas,153.5
United States,2015,79.1,321773631,Americas,1915.5
United States,2014,79.1,319448634,Americas,1920.2
United States,2013,79.1,317135919,Americas,2503.8
United States,2012,79.0,314799465,Americas,2319.2
United States,2011,78.9,312390368,Americas,1661.8
United States,2010,78.8,309876170,Americas,1406.9
United States,2009,78.5,307231961,Americas,2680.7
United States,2008,78.3,304473143,Americas,1787.4
United States,2007,78.1,301655953,Americas,1409.6
United States,2006,77.8,298860519,Americas,1465.2
United States,2005,77.6,296139635,Americas,1614.6
United States,2004,77.6,293530886,Americas,1126.8
United States,2003,77.3,291005482,Americas,3087.9
Ukraine,2015,71.5,44823765,Europe,378.2
Ukraine,2014,71.3,45002497,Europe,386.8
Ukraine,2013,71.3,45165211,Europe,422.2
Ukraine,2012,71.2,45319949,Europe,365.6
Ukraine,2011,71.1,45477690,Europe,379.9
Ukraine,2010,70.5,45647497,Europe,386.5
Ukraine,2009,69.6,45830711,Europe,492.8
Ukraine,2008,67.8,46028476,Europe,393.4
Ukraine,2007,67.6,46249196,Europe,406.5
Ukraine,2006,67.9,46502718,Europe,332.9
Ukraine,2005,67.1,46795313,Europe,503.6
Switzerland,2015,83.0,8298663.0,Europe,199.7
Switzerland,2014,82.9,8211383.0,Europe,74.4
Switzerland,2013,82.8,8118719.0,Europe,122.7
Switzerland,2012,82.7,8022628.0,Europe,55.5
Switzerland,2011,82.6,7925813.0,Europe,44.5
Switzerland,2010,82.3,7830534.0,Europe,20.1
Switzerland,2009,82.0,7737316.0,Europe,112.2
Switzerland,2008,82.0,7646542.0,Europe,64.3
Switzerland,2007,81.7,7560141.0,Europe,57.7
Switzerland,2006,81.5,7480317.0,Europe,33.6
Switzerland,2005,81.3,7408608.0,Europe,74.0
Switzerland,2004,81.0,7345299.0,Europe,30.8
Switzerland,2003,80.6,7289901.0,Europe,135.8
Sweden,2015,82.1,9779426.0,Europe,10.3
Sweden,2014,82.1,9703247.0,Europe,5.1
Sweden,2013,81.9,9624247.0,Europe,10.7
Sweden,2012,81.8,9543457.0,Europe,6.9
Sweden,2011,81.7,9462352.0,Europe,3.9
Sweden,2010,81.6,9382297.0,Europe,2.0
Sweden,2009,81.2,9303432.0,Europe,9.1
Sweden,2008,81.1,9226333.0,Europe,3.3
Sweden,2007,80.9,9153316.0,Europe,3.4
Sweden,2006,80.8,9087251.0,Europe,2.9
Sweden,2005,80.6,9030163.0,Europe,3.4
Spain,2015,82.6,46121699,Europe,152.0
Spain,2014,82.5,46259716,Europe,57.9
Spain,2013,82.5,46455163,Europe,53.3
Spain,2012,82.2,46637082,Europe,36.6
Spain,2011,82.0,46708366,Europe,23.5
Spain,2010,81.8,46601492,Europe,14.0
Spain,2009,81.5,46295191,Europe,77.1
Spain,2008,81.1,45817016,Europe,42.5
Spain,2007,80.8,45209538,Europe,62.4
Spain,2006,80.7,44537926,Europe,38.9
Spain,2005,80.3,43854761,Europe,63.0
Spain,2004,80.0,43167276,Europe,27.6
Spain,2003,79.6,42475265,Europe,77.4
South Africa,2015,61.3,54490406,Africa,3091.9
South Africa,2014,61.2,53969054,Africa,2991.9
South Africa,2013,60.7,53416609,Africa,2705.2
South Africa,2012,59.0,52837274,Africa,2575.8
South Africa,2011,56.6,52237272,Africa,2483.7
South Africa,2010,54.9,51621594,Africa,2491.1
South Africa,2009,53.9,50992034,Africa,2891.2
South Africa,2008,53.4,50348811,Africa,2603.4
South Africa,2007,53.0,49693580,Africa,2606.2
South Africa,2006,52.5,49027805,Africa,2701.0
Russia,2015,71.0,143456918,Europe,670.2
Russia,2014,70.9,143429435,Europe,595.5
Russia,2013,70.8,143367341,Europe,637.2
Russia,2012,70.4,143287536,Europe,513.5
Russia,2011,69.8,143211476,Europe,506.8
Russia,2010,68.9,143158099,Europe,448.5
Russia,2009,68.8,143126660,Europe,564.6
Russia,2008,67.9,143123163,Europe,403.4
